filename,noise_variance,noise_type
2565.png,8663.651447986316,Other Noise
3363.png,11095.299192593824,Gaussian
314.png,14614.069389780125,Gaussian
5197.png,10102.278386295635,Gaussian
3544.png,10807.623234058552,Gaussian
1023.png,12183.015792849945,Gaussian
5595.png,7769.983212117398,Other Noise
1337.png,11311.473546545629,Gaussian
655.png,14916.484787927724,Gaussian
227.png,14212.022614409949,Gaussian
5816.png,11259.886943543162,Gaussian
762.png,11236.878955385557,Gaussian
2803.png,11012.935243182954,Gaussian
726.png,15295.488846221759,Gaussian
2199.png,11614.359766075386,Gaussian
5858.png,9057.207951375494,Other Noise
5543.png,12164.135161073838,Gaussian
1630.png,11059.726810930093,Gaussian
5898.png,15220.033705472335,Gaussian
5831.png,12438.72558318377,Gaussian
2920.png,5946.571483411445,Other Noise
238.png,14854.69890478289,Gaussian
3728.png,8996.698293134848,Other Noise
3070.png,12229.734714745806,Gaussian
61.png,6069.612571723523,Other Noise
2731.png,12769.169106866962,Gaussian
377.png,12257.663312814359,Gaussian
5391.png,9815.694255951914,Other Noise
4554.png,14953.24983320378,Gaussian
4418.png,10809.67089247324,Gaussian
1961.png,11506.093210647909,Gaussian
1798.png,5162.767325228968,Other Noise
4864.png,9285.513974287338,Other Noise
2324.png,9245.966626382326,Other Noise
581.png,10068.628082646506,Gaussian
1782.png,7569.864228983273,Other Noise
222.png,7460.510866680218,Other Noise
330.png,11626.490775295464,Gaussian
5038.png,11984.682198376533,Gaussian
2742.png,12968.101801237422,Gaussian
511.png,1984.7340539900374,Other Noise
579.png,10557.571148719466,Gaussian
5957.png,11898.973926911127,Gaussian
4127.png,11964.489965840392,Gaussian
278.png,11088.8322522908,Gaussian
4236.png,13814.41406505447,Gaussian
2146.png,11988.77994595537,Gaussian
1863.png,15227.88616400145,Gaussian
927.png,12842.783566675218,Gaussian
303.png,11704.71556835211,Gaussian
3921.png,8185.271845220096,Other Noise
37.png,11973.682243458803,Gaussian
231.png,13849.68968506322,Gaussian
1048.png,9875.59320664721,Other Noise
2367.png,12003.917097812726,Gaussian
2559.png,9887.202725105679,Other Noise
5908.png,15206.510649861333,Gaussian
645.png,14880.701900262904,Gaussian
2270.png,11676.135906913843,Gaussian
1703.png,7419.284212376165,Other Noise
348.png,6506.0639781701675,Other Noise
5731.png,10075.166537744462,Gaussian
3959.png,10844.795240894928,Gaussian
5501.png,9848.19707925936,Other Noise
5802.png,9313.61350667115,Other Noise
3372.png,7943.518938300174,Other Noise
4444.png,9770.130153680602,Other Noise
5620.png,9929.774144680689,Other Noise
4326.png,10272.733746044318,Gaussian
449.png,8619.505171117202,Other Noise
3960.png,9923.619502813008,Other Noise
3602.png,10770.602231936084,Gaussian
2718.png,11979.442624652234,Gaussian
5629.png,14605.743640907558,Gaussian
5378.png,10839.333212868296,Gaussian
3924.png,11702.869968487928,Gaussian
5468.png,9207.15572777341,Other Noise
4303.png,10797.731742563352,Gaussian
2779.png,10343.880829163132,Gaussian
4738.png,11340.092444669093,Gaussian
353.png,12238.12158581006,Gaussian
4463.png,10438.448286624713,Gaussian
3777.png,9935.113643646584,Other Noise
5694.png,14865.662079123666,Gaussian
4869.png,14902.02587259152,Gaussian
2645.png,8330.734573145231,Other Noise
3539.png,10577.738956885496,Gaussian
3884.png,8614.311440558358,Other Noise
5414.png,8330.460642402686,Other Noise
5461.png,11980.177824292969,Gaussian
3375.png,9091.299113997424,Other Noise
3770.png,10907.58425757881,Gaussian
621.png,2024.2866707944893,Other Noise
5422.png,9535.150681937774,Other Noise
2134.png,14861.346700663318,Gaussian
3351.png,8526.25274346966,Other Noise
5361.png,12481.749621810375,Gaussian
5518.png,8877.231040931178,Other Noise
3450.png,9722.412987395928,Other Noise
4699.png,7535.741140821607,Other Noise
1726.png,14955.110136313413,Gaussian
148.png,9081.400890322448,Other Noise
5612.png,10339.561694215578,Gaussian
990.png,10078.219427356169,Gaussian
2844.png,13828.81535485135,Gaussian
403.png,9982.726879451491,Other Noise
3632.png,5255.530427672471,Other Noise
2661.png,11750.622406383365,Gaussian
3622.png,9613.813434451482,Other Noise
4298.png,11830.738176263823,Gaussian
3702.png,2171.363491487457,Other Noise
3068.png,12091.03932808569,Gaussian
1590.png,12247.03648493759,Gaussian
5174.png,10697.186272328188,Gaussian
1995.png,11956.544412284238,Gaussian
2121.png,12131.979350315778,Gaussian
3366.png,9678.232286423392,Other Noise
3709.png,8059.765436214467,Other Noise
3296.png,15243.202809298278,Gaussian
5993.png,10498.53040623759,Gaussian
1855.png,15223.195318977585,Gaussian
3107.png,12915.148928472208,Gaussian
4847.png,10967.292914158817,Gaussian
4761.png,11272.107111695046,Gaussian
1813.png,15211.771074018798,Gaussian
1000.png,6921.958536394323,Other Noise
4957.png,6654.439915309683,Other Noise
5674.png,14294.134160700647,Gaussian
2346.png,8848.660709102794,Other Noise
4309.png,9988.865191215848,Other Noise
2269.png,7912.098570012192,Other Noise
5657.png,15361.049781478418,Gaussian
4226.png,11125.935060882362,Gaussian
1604.png,11765.10033918625,Gaussian
4478.png,9389.451151643068,Other Noise
5947.png,13766.79789467539,Gaussian
352.png,10585.44690323645,Gaussian
2522.png,15070.842033536132,Gaussian
35.png,11867.293349583388,Gaussian
2302.png,10227.735340640162,Gaussian
3102.png,11638.446943270084,Gaussian
4540.png,9181.248489133099,Other Noise
3637.png,5284.849793024105,Other Noise
5448.png,9099.314543932425,Other Noise
3440.png,6137.599396490549,Other Noise
2030.png,10083.967724102531,Gaussian
3748.png,3713.068600531311,Other Noise
3406.png,10783.09238730493,Gaussian
5130.png,14826.641971697756,Gaussian
5342.png,15226.922010142474,Gaussian
232.png,10057.775702599753,Gaussian
5503.png,11370.455236478154,Gaussian
817.png,8649.899578865108,Other Noise
1827.png,15210.562905512246,Gaussian
334.png,14610.123040372046,Gaussian
177.png,12041.094366216432,Gaussian
2533.png,12662.46322506631,Gaussian
2637.png,8598.79515744122,Other Noise
4626.png,15287.49366098251,Gaussian
2990.png,10104.024923518748,Gaussian
1081.png,11297.78329201697,Gaussian
5681.png,11831.668612077383,Gaussian
3262.png,6994.195761812118,Other Noise
4530.png,7181.994811379503,Other Noise
1780.png,9830.40487664211,Other Noise
3554.png,10075.962566349448,Gaussian
3531.png,14218.764641800024,Gaussian
1992.png,11271.205434336493,Gaussian
5364.png,7667.493258066499,Other Noise
2058.png,12067.935564698697,Gaussian
142.png,8797.422079688155,Other Noise
5960.png,11918.917060150892,Gaussian
2365.png,9501.194740670086,Other Noise
5432.png,12418.410132657216,Gaussian
834.png,10619.782082720807,Gaussian
3002.png,10021.64789783188,Gaussian
1176.png,11489.54962313402,Gaussian
1914.png,14870.770626156213,Gaussian
5959.png,7657.101837816475,Other Noise
754.png,10259.316729359507,Gaussian
3655.png,8827.844176165954,Other Noise
407.png,10038.446512214161,Gaussian
3047.png,14799.606113883527,Gaussian
2767.png,8654.474038872379,Other Noise
2978.png,13025.210175086975,Gaussian
104.png,6943.264971955962,Other Noise
4641.png,15298.75086502143,Gaussian
2013.png,11077.69091637453,Gaussian
4846.png,12334.186355988344,Gaussian
3561.png,12534.395298538671,Gaussian
1690.png,8854.726306245582,Other Noise
5962.png,12362.6980667978,Gaussian
1413.png,7151.709575916162,Other Noise
384.png,12419.961134322099,Gaussian
2011.png,12756.851812681314,Gaussian
4852.png,14478.751431321796,Gaussian
4208.png,10630.508009861536,Gaussian
5093.png,14299.841227346586,Gaussian
4776.png,9506.589248806138,Other Noise
4582.png,14947.449487891143,Gaussian
1670.png,11849.793421910706,Gaussian
376.png,12224.433061626887,Gaussian
543.png,15045.576471048615,Gaussian
1312.png,11529.403773398784,Gaussian
5845.png,1895.1280127478717,Other Noise
737.png,8885.161233795092,Other Noise
4661.png,11270.690256511922,Gaussian
1156.png,10884.843086151908,Gaussian
4110.png,12035.355167785365,Gaussian
3220.png,7308.633384427075,Other Noise
1004.png,5570.657029802523,Other Noise
4261.png,11683.047538435487,Gaussian
2069.png,11802.187973741136,Gaussian
2675.png,10982.282688900215,Gaussian
4175.png,11939.413438466448,Gaussian
3692.png,10705.164671774655,Gaussian
3052.png,11781.90981587557,Gaussian
133.png,11430.891485346592,Gaussian
4070.png,12117.697821563179,Gaussian
70.png,9285.794228037734,Other Noise
1754.png,7305.84078385652,Other Noise
1529.png,14823.73771405583,Gaussian
162.png,10768.837634155288,Gaussian
5547.png,9953.512479820625,Other Noise
419.png,10384.463559044645,Gaussian
951.png,10941.676205298707,Gaussian
1705.png,13106.74131396461,Gaussian
4052.png,13349.586744568596,Gaussian
2169.png,12117.717458767687,Gaussian
2410.png,6595.903759505816,Other Noise
4442.png,9761.382259443897,Other Noise
940.png,5893.332714459074,Other Noise
3058.png,11854.744230990887,Gaussian
4296.png,10968.8490879334,Gaussian
517.png,8113.142706471,Other Noise
1032.png,11018.022298930187,Gaussian
398.png,10915.058457280702,Gaussian
634.png,10853.42753806203,Gaussian
4484.png,6635.337677714433,Other Noise
3634.png,10495.145521263772,Gaussian
1513.png,14413.69589421471,Gaussian
186.png,8903.76631415871,Other Noise
778.png,11350.947117560196,Gaussian
5437.png,9426.600037369644,Other Noise
3030.png,12315.096796948808,Gaussian
3189.png,11490.629602165965,Gaussian
73.png,7906.094973542483,Other Noise
870.png,9703.890081252533,Other Noise
4350.png,10819.369403848243,Gaussian
933.png,12422.681325533738,Gaussian
2741.png,13070.173028432151,Gaussian
2513.png,15209.412762356696,Gaussian
3715.png,11598.480665210447,Gaussian
1633.png,11998.108953185165,Gaussian
3712.png,9865.429695924546,Other Noise
92.png,11018.57477174353,Gaussian
5989.png,8413.062639571559,Other Noise
1328.png,11218.382343037261,Gaussian
4914.png,11761.768533432274,Gaussian
2182.png,11981.69503251917,Gaussian
2381.png,11731.359931621866,Gaussian
1989.png,9239.380407766417,Other Noise
542.png,15216.73619955418,Gaussian
2376.png,9992.778852577003,Other Noise
5340.png,15216.003928633812,Gaussian
2136.png,14854.343922195112,Gaussian
4771.png,9104.872616438888,Other Noise
4671.png,8880.059621422888,Other Noise
766.png,11177.300966935285,Gaussian
2003.png,6898.274394982024,Other Noise
4033.png,13163.319418044559,Gaussian
315.png,12231.739446482685,Gaussian
4809.png,9158.86861739562,Other Noise
436.png,11480.448343428481,Gaussian
359.png,11078.18328573483,Gaussian
4985.png,6893.181778759904,Other Noise
261.png,14891.277929327765,Gaussian
3469.png,11931.421258345661,Gaussian
4677.png,9814.104652587452,Other Noise
5790.png,11627.780490730553,Gaussian
5598.png,6619.385177957281,Other Noise
1214.png,1689.6262558929325,Other Noise
4670.png,12530.2872746468,Gaussian
1931.png,15002.866263150781,Gaussian
5723.png,12371.1197853249,Gaussian
1673.png,2353.9212545136243,Other Noise
3697.png,5005.246777777243,Other Noise
2051.png,10220.348831270903,Gaussian
1532.png,14663.353800146771,Gaussian
1820.png,14994.021195063156,Gaussian
3497.png,11606.543468471322,Gaussian
2537.png,8340.374116680528,Other Noise
1918.png,15225.355776611374,Gaussian
4051.png,9047.82297707428,Other Noise
901.png,11677.657421600465,Gaussian
5485.png,12342.186920868731,Gaussian
3804.png,11602.30564804507,Gaussian
3061.png,14574.180448033754,Gaussian
5781.png,9633.797437508454,Other Noise
1096.png,14298.446577204748,Gaussian
2430.png,9780.215709872253,Other Noise
4578.png,15216.456251821464,Gaussian
2829.png,7536.832621379004,Other Noise
5976.png,11370.429566581444,Gaussian
3568.png,11621.053687021691,Gaussian
2893.png,15054.23470882557,Gaussian
4494.png,5671.09651091253,Other Noise
153.png,12082.990791440543,Gaussian
5023.png,9423.845711146081,Other Noise
1578.png,14887.124695974751,Gaussian
3205.png,1993.7393418015631,Other Noise
3403.png,11693.500464883402,Gaussian
1954.png,9803.207660252025,Other Noise
1500.png,14563.756411631806,Gaussian
4910.png,9625.126356531624,Other Noise
5173.png,8280.782177743398,Other Noise
1846.png,15200.468652235715,Gaussian
2462.png,14870.129101234426,Gaussian
1959.png,11660.50121176017,Gaussian
5488.png,9716.947786123437,Other Noise
2218.png,14836.207960444157,Gaussian
2902.png,15200.200723956747,Gaussian
4990.png,11845.378842843707,Gaussian
2099.png,14938.410708761981,Gaussian
3184.png,9804.913550449599,Other Noise
4277.png,10951.662038661727,Gaussian
1320.png,9822.515264352382,Other Noise
3920.png,9678.328278046085,Other Noise
4563.png,15246.871823041336,Gaussian
167.png,11403.271536393904,Gaussian
1348.png,10064.736364225111,Gaussian
2640.png,9717.620492471695,Other Noise
5741.png,10403.158945563215,Gaussian
628.png,7523.672997080228,Other Noise
3053.png,14485.415072801623,Gaussian
2041.png,11618.382381146139,Gaussian
3736.png,9052.903480476958,Other Noise
3243.png,9806.472139126801,Other Noise
506.png,8965.343463779775,Other Noise
2156.png,12775.579427135122,Gaussian
3341.png,11120.20751924249,Gaussian
1147.png,11229.064962290584,Gaussian
1375.png,11904.677013214392,Gaussian
1452.png,13742.582514699703,Gaussian
5934.png,15212.101798754595,Gaussian
2094.png,14745.66806563464,Gaussian
441.png,9075.967731009352,Other Noise
928.png,11112.826679791095,Gaussian
5584.png,9846.264175785405,Other Noise
4598.png,15217.457899017976,Gaussian
4536.png,1972.255332595698,Other Noise
562.png,9765.461153682863,Other Noise
681.png,15199.135952138231,Gaussian
5129.png,11879.083969058269,Gaussian
2668.png,9911.680552391976,Other Noise
3659.png,9073.405427925389,Other Noise
2582.png,8830.712576253129,Other Noise
1266.png,8924.100680732947,Other Noise
1542.png,12019.693221525866,Gaussian
5298.png,15176.392340136765,Gaussian
4552.png,15212.048550538328,Gaussian
5399.png,11873.153000629189,Gaussian
4423.png,11113.903103450231,Gaussian
5707.png,14524.787180837962,Gaussian
3174.png,10340.399745597304,Gaussian
2526.png,15215.47871302487,Gaussian
1206.png,1716.6726301755468,Other Noise
3028.png,10345.388836908332,Gaussian
5151.png,10483.47626213419,Gaussian
1064.png,14832.205106438414,Gaussian
4228.png,11310.939893642668,Gaussian
3415.png,12619.631801147769,Gaussian
204.png,5976.089075917294,Other Noise
646.png,14926.097106812504,Gaussian
1179.png,11007.49290867496,Gaussian
5039.png,11951.448953139228,Gaussian
2233.png,12267.74467470997,Gaussian
75.png,4905.578908208739,Other Noise
1128.png,9944.307336212552,Other Noise
5961.png,11481.148002513168,Gaussian
296.png,14568.961259467533,Gaussian
2184.png,11667.415418504383,Gaussian
1494.png,11611.588015693469,Gaussian
5017.png,7017.894898533817,Other Noise
5091.png,10301.303205103783,Gaussian
2388.png,11432.5604766768,Gaussian
3650.png,6479.548164454197,Other Noise
5417.png,8636.765293673052,Other Noise
1364.png,12400.762909512523,Gaussian
1334.png,11587.373044922126,Gaussian
1576.png,12374.12633760752,Gaussian
1072.png,12407.710087759713,Gaussian
2832.png,11326.695797551025,Gaussian
4388.png,11935.471691868617,Gaussian
4959.png,10288.337709001653,Gaussian
1123.png,10432.094938785953,Gaussian
1808.png,15197.89248167825,Gaussian
3283.png,15216.612684106738,Gaussian
2801.png,9527.90267333418,Other Noise
4026.png,6153.856065908977,Other Noise
4925.png,11210.433580379839,Gaussian
744.png,8059.991858228308,Other Noise
2428.png,4665.489740654634,Other Noise
1314.png,12505.193313628406,Gaussian
4687.png,12280.391879072347,Gaussian
3098.png,12366.166271328244,Gaussian
538.png,15210.209757956181,Gaussian
1301.png,9046.243020981277,Other Noise
651.png,12730.45589234665,Gaussian
899.png,11763.457009374462,Gaussian
5542.png,11747.241852570527,Gaussian
3172.png,10505.778336942623,Gaussian
4652.png,15160.059230203216,Gaussian
1907.png,13647.183362821143,Gaussian
3255.png,9150.799841926357,Other Noise
270.png,12686.645551598918,Gaussian
2607.png,8833.282344209028,Other Noise
4839.png,12943.693003197814,Gaussian
3082.png,11686.450596026389,Gaussian
89.png,8832.858149370912,Other Noise
385.png,10042.20189542895,Gaussian
3628.png,5045.138825500455,Other Noise
2096.png,15257.71308138682,Gaussian
3645.png,10014.793108579042,Gaussian
768.png,9425.679811409733,Other Noise
4675.png,9514.659981921975,Other Noise
4381.png,10353.500642824009,Gaussian
3833.png,9224.484057795114,Other Noise
872.png,8376.340288468053,Other Noise
5413.png,13966.2135553047,Gaussian
5224.png,4448.426057707479,Other Noise
4902.png,7269.288549512308,Other Noise
5933.png,12187.808734353566,Gaussian
4269.png,10619.839651883643,Gaussian
5238.png,3649.824839550586,Other Noise
2079.png,15307.905137681946,Gaussian
4196.png,11720.016927075858,Gaussian
5065.png,11575.42903901784,Gaussian
338.png,11499.254373011841,Gaussian
3025.png,10545.885717890478,Gaussian
3478.png,12492.845166882169,Gaussian
3949.png,11703.378291062683,Gaussian
4003.png,11150.878150664428,Gaussian
5289.png,15197.1443339125,Gaussian
333.png,8887.42714297788,Other Noise
164.png,6642.476265373033,Other Noise
5069.png,11218.488068825458,Gaussian
5121.png,11693.911742287124,Gaussian
1168.png,10738.21184453319,Gaussian
5740.png,10878.819974213682,Gaussian
1118.png,12018.964475950612,Gaussian
4740.png,13850.791147846641,Gaussian
4782.png,11486.217641116667,Gaussian
1867.png,15204.334044352263,Gaussian
752.png,10983.909744101853,Gaussian
4155.png,10097.895829713218,Gaussian
3831.png,8844.76641178745,Other Noise
5516.png,8557.132369238043,Other Noise
2795.png,11180.724348080272,Gaussian
550.png,15004.255269665286,Gaussian
1326.png,11275.243322564127,Gaussian
521.png,9039.450242089246,Other Noise
4334.png,12386.770317381455,Gaussian
4493.png,9918.144722911258,Other Noise
1275.png,9205.13602705319,Other Noise
3599.png,9897.469234598699,Other Noise
2355.png,11065.798960797365,Gaussian
5905.png,15197.643616866511,Gaussian
2143.png,12340.52452879607,Gaussian
5574.png,6814.225717236948,Other Noise
1789.png,11640.274921152675,Gaussian
5927.png,15225.170761455463,Gaussian
11.png,8263.511403478731,Other Noise
1668.png,11383.806400687876,Gaussian
5568.png,10859.55979665584,Gaussian
1036.png,12271.205957124319,Gaussian
5101.png,11968.81849346225,Gaussian
4466.png,8767.539790309682,Other Noise
615.png,12248.674426053316,Gaussian
5336.png,15177.735537635785,Gaussian
3534.png,9873.423651163015,Other Noise
5580.png,11195.418154847674,Gaussian
416.png,11744.85593292158,Gaussian
5668.png,9162.364814499342,Other Noise
2495.png,15144.584693119717,Gaussian
1952.png,11541.087019697354,Gaussian
5148.png,10317.321985914074,Gaussian
994.png,9399.349230187096,Other Noise
3724.png,9145.787581756618,Other Noise
881.png,11585.114083627523,Gaussian
605.png,8839.690425499954,Other Noise
4314.png,10659.830385366644,Gaussian
4527.png,7440.436372633744,Other Noise
707.png,15221.349408231396,Gaussian
3869.png,8264.16563451109,Other Noise
2854.png,14880.92930547805,Gaussian
3966.png,5748.5538340271005,Other Noise
3144.png,9674.285778570316,Other Noise
351.png,9773.253329594381,Other Noise
1010.png,12739.161107838927,Gaussian
3838.png,15219.186351327391,Gaussian
1910.png,15192.837687761832,Gaussian
1208.png,9824.873067769991,Other Noise
213.png,6602.690775382982,Other Noise
4589.png,15217.599530165198,Gaussian
2577.png,8915.171822935434,Other Noise
4932.png,8089.9123323203985,Other Noise
5975.png,8161.976242038464,Other Noise
1695.png,4841.422433917112,Other Noise
4135.png,14571.58380582406,Gaussian
5457.png,11310.024727937773,Gaussian
5187.png,11872.075753456895,Gaussian
411.png,10716.27140215531,Gaussian
4505.png,11553.426651695705,Gaussian
2183.png,14827.767344410846,Gaussian
505.png,10356.56889063649,Gaussian
5160.png,14123.814300405142,Gaussian
1445.png,7340.087154068416,Other Noise
114.png,8783.29731250845,Other Noise
1698.png,8500.404194440636,Other Noise
1871.png,15205.580583529409,Gaussian
1307.png,9254.91457052878,Other Noise
930.png,13161.882937027432,Gaussian
5469.png,12384.692844832147,Gaussian
5500.png,8712.689601286243,Other Noise
2278.png,8884.627822222088,Other Noise
4146.png,9715.870302381012,Other Noise
4254.png,12358.623478464044,Gaussian
302.png,14704.959441205614,Gaussian
185.png,10139.649554389573,Gaussian
5429.png,8476.645587538924,Other Noise
1870.png,15238.269453258825,Gaussian
240.png,13991.97036951279,Gaussian
4149.png,11558.323751066853,Gaussian
3160.png,13746.021527455196,Gaussian
3956.png,10069.512662746716,Gaussian
5817.png,12337.699787746245,Gaussian
1483.png,14969.534970268996,Gaussian
811.png,11043.745381597735,Gaussian
4361.png,11092.177349613714,Gaussian
5489.png,9470.393932945903,Other Noise
5769.png,10583.294856372222,Gaussian
3211.png,11215.177859019204,Gaussian
317.png,12063.952754929682,Gaussian
2653.png,11884.687368309784,Gaussian
1294.png,11455.20658845732,Gaussian
1530.png,14858.54814288343,Gaussian
3864.png,9321.186378183465,Other Noise
2026.png,7604.970869024818,Other Noise
3582.png,11552.86989132627,Gaussian
3520.png,12895.488764577905,Gaussian
1678.png,7367.503487001369,Other Noise
2998.png,9313.631699738708,Other Noise
1514.png,12021.112934835899,Gaussian
5763.png,10017.16283095707,Gaussian
1041.png,14872.295801499258,Gaussian
4090.png,11601.678192573896,Gaussian
2702.png,7891.046009416423,Other Noise
281.png,10689.368560409504,Gaussian
2901.png,15238.387486531421,Gaussian
3733.png,8552.948309194424,Other Noise
344.png,14386.59072921216,Gaussian
5018.png,11691.520591877188,Gaussian
1967.png,9610.520396999847,Other Noise
5205.png,10547.31714030058,Gaussian
1649.png,9917.791718795963,Other Noise
3830.png,10120.85899341568,Gaussian
5628.png,14555.26885422816,Gaussian
3587.png,11767.264054199413,Gaussian
2519.png,15059.31149593319,Gaussian
1268.png,8892.605517034679,Other Noise
4431.png,10737.868708687638,Gaussian
5894.png,15228.900586533107,Gaussian
3805.png,9572.159813379962,Other Noise
1627.png,10047.997417932425,Gaussian
3056.png,11399.195917685944,Gaussian
457.png,9689.206268775486,Other Noise
493.png,1778.9602509680635,Other Noise
1329.png,9173.07026611315,Other Noise
759.png,11131.696001939288,Gaussian
4093.png,10685.63975268917,Gaussian
5630.png,11342.780492436133,Gaussian
3165.png,10141.184579933348,Gaussian
4793.png,9479.601279414088,Other Noise
907.png,12260.402387211841,Gaussian
2489.png,15194.152739209952,Gaussian
1071.png,13866.188806044136,Gaussian
362.png,11994.953961705292,Gaussian
2336.png,12362.48189956477,Gaussian
2751.png,9821.104211494758,Other Noise
5925.png,14916.512492871367,Gaussian
4153.png,11743.657787962904,Gaussian
1148.png,11353.792499366507,Gaussian
176.png,10037.26351357691,Gaussian
5288.png,14787.511284375514,Gaussian
2106.png,12275.467215795334,Gaussian
4078.png,14845.777494143844,Gaussian
3675.png,5409.5339321013425,Other Noise
4044.png,13283.793762062112,Gaussian
660.png,13244.233456498974,Gaussian
4531.png,10055.805481529573,Gaussian
727.png,15220.320301173064,Gaussian
4252.png,10649.605189470925,Gaussian
1625.png,10370.688835066467,Gaussian
2088.png,14939.839619309152,Gaussian
95.png,11658.350930188806,Gaussian
2228.png,10535.958812992954,Gaussian
432.png,10583.185761475217,Gaussian
895.png,11484.98474417651,Gaussian
1161.png,10602.099395873736,Gaussian
2594.png,12056.973370719628,Gaussian
5262.png,15205.84463327503,Gaussian
5594.png,6185.073439573958,Other Noise
3445.png,10786.261132390016,Gaussian
97.png,10823.821077861234,Gaussian
3387.png,8137.456298362142,Other Noise
4446.png,10081.092623930947,Gaussian
5509.png,11406.820634165651,Gaussian
