filename,noise_type
5802.png,Poisson noise
3372.png,Other noise
4444.png,Other noise
5620.png,Other noise
4326.png,Other noise
449.png,Poisson noise
3960.png,Other noise
3602.png,Other noise
2718.png,Other noise
5629.png,Other noise
5378.png,Other noise
3924.png,Other noise
5468.png,Other noise
4303.png,Other noise
2779.png,Other noise
4738.png,Other noise
353.png,Other noise
4463.png,Other noise
3777.png,Other noise
5694.png,Other noise
4869.png,Other noise
2645.png,Other noise
3539.png,Other noise
3884.png,Other noise
5414.png,Other noise
5461.png,Other noise
3375.png,Other noise
3770.png,Other noise
621.png,Poisson noise
5422.png,Other noise
2134.png,Other noise
3351.png,Other noise
5361.png,Other noise
5518.png,Other noise
3450.png,Other noise
4699.png,Other noise
1726.png,Other noise
148.png,Other noise
5612.png,Other noise
990.png,Other noise
2844.png,Other noise
403.png,Other noise
3632.png,Other noise
2661.png,Other noise
3622.png,Other noise
4298.png,Other noise
3702.png,Poisson noise
3068.png,Other noise
1590.png,Other noise
5174.png,Other noise
1995.png,Other noise
2121.png,Other noise
3366.png,Other noise
3709.png,Other noise
3296.png,Other noise
5993.png,Other noise
1855.png,Other noise
3107.png,Other noise
4847.png,Other noise
4761.png,Other noise
1813.png,Other noise
1000.png,Other noise
4957.png,Poisson noise
5674.png,Other noise
2346.png,Other noise
4309.png,Other noise
2269.png,Other noise
5657.png,Other noise
4226.png,Other noise
1604.png,Other noise
4478.png,Other noise
5947.png,Other noise
352.png,Other noise
2522.png,Other noise
35.png,Other noise
2302.png,Other noise
3102.png,Other noise
4540.png,Other noise
3637.png,Poisson noise
5448.png,Other noise
3440.png,Poisson noise
2030.png,Other noise
3748.png,Poisson noise
3406.png,Other noise
5130.png,Other noise
5342.png,Other noise
232.png,Other noise
5503.png,Other noise
817.png,Other noise
1827.png,Other noise
334.png,Other noise
177.png,Other noise
2533.png,Other noise
2637.png,Other noise
4626.png,Other noise
2990.png,Other noise
1081.png,Other noise
5681.png,Other noise
3262.png,Other noise
4530.png,Poisson noise
1780.png,Other noise
3554.png,Other noise
3531.png,Other noise
1992.png,Other noise
5364.png,Other noise
2058.png,Other noise
142.png,Other noise
5960.png,Other noise
2365.png,Other noise
5432.png,Other noise
834.png,Other noise
3002.png,Other noise
1176.png,Other noise
1914.png,Other noise
5959.png,Other noise
754.png,Other noise
3655.png,Other noise
407.png,Other noise
3047.png,Other noise
2767.png,Other noise
2978.png,Other noise
104.png,Other noise
4641.png,Other noise
2013.png,Other noise
4846.png,Other noise
3561.png,Other noise
1690.png,Other noise
5962.png,Other noise
1413.png,Poisson noise
384.png,Other noise
2011.png,Other noise
4852.png,Other noise
4208.png,Other noise
5093.png,Other noise
4776.png,Other noise
4582.png,Other noise
1670.png,Other noise
376.png,Other noise
543.png,Other noise
1312.png,Other noise
5845.png,Poisson noise
737.png,Other noise
4661.png,Other noise
1156.png,Other noise
4110.png,Other noise
3220.png,Other noise
1004.png,Other noise
4261.png,Other noise
2069.png,Other noise
2675.png,Other noise
4175.png,Other noise
3692.png,Other noise
3052.png,Other noise
133.png,Other noise
4070.png,Other noise
70.png,Poisson noise
1754.png,Other noise
1529.png,Other noise
162.png,Other noise
5547.png,Other noise
419.png,Other noise
951.png,Other noise
1705.png,Other noise
4052.png,Other noise
2169.png,Other noise
2410.png,Other noise
4442.png,Poisson noise
940.png,Poisson noise
3058.png,Other noise
4296.png,Other noise
517.png,Other noise
1032.png,Other noise
398.png,Other noise
634.png,Other noise
4484.png,Other noise
3634.png,Other noise
1513.png,Other noise
186.png,Other noise
778.png,Other noise
5437.png,Other noise
3030.png,Other noise
3189.png,Other noise
73.png,Other noise
870.png,Other noise
4350.png,Other noise
933.png,Other noise
2741.png,Other noise
2513.png,Other noise
3715.png,Other noise
1633.png,Other noise
3712.png,Other noise
92.png,Other noise
5989.png,Other noise
1328.png,Other noise
4914.png,Other noise
2182.png,Other noise
2381.png,Other noise
1989.png,Other noise
542.png,Other noise
2376.png,Other noise
5340.png,Other noise
2136.png,Other noise
4771.png,Other noise
4671.png,Other noise
766.png,Other noise
2003.png,Other noise
4033.png,Other noise
315.png,Other noise
4809.png,Poisson noise
436.png,Other noise
359.png,Other noise
4985.png,Poisson noise
261.png,Other noise
3469.png,Other noise
4677.png,Other noise
5790.png,Other noise
5598.png,Other noise
1214.png,Poisson noise
4670.png,Other noise
1931.png,Other noise
5723.png,Other noise
1673.png,Poisson noise
3697.png,Poisson noise
2051.png,Other noise
1532.png,Other noise
1820.png,Other noise
3497.png,Other noise
2537.png,Other noise
1918.png,Other noise
4051.png,Other noise
901.png,Other noise
5485.png,Other noise
3804.png,Other noise
3061.png,Other noise
5781.png,Other noise
1096.png,Other noise
2430.png,Other noise
4578.png,Other noise
2829.png,Other noise
5976.png,Other noise
3568.png,Other noise
2893.png,Other noise
4494.png,Other noise
153.png,Other noise
5023.png,Poisson noise
1578.png,Other noise
3205.png,Poisson noise
3403.png,Other noise
1954.png,Other noise
1500.png,Other noise
4910.png,Other noise
5173.png,Other noise
1846.png,Other noise
2462.png,Other noise
1959.png,Other noise
5488.png,Other noise
2218.png,Other noise
2902.png,Other noise
4990.png,Other noise
2099.png,Other noise
3184.png,Other noise
4277.png,Other noise
1320.png,Other noise
3920.png,Other noise
4563.png,Other noise
167.png,Other noise
1348.png,Other noise
2640.png,Other noise
5741.png,Other noise
628.png,Other noise
3053.png,Other noise
2041.png,Other noise
3736.png,Other noise
3243.png,Other noise
506.png,Other noise
2156.png,Other noise
3341.png,Other noise
1147.png,Other noise
1375.png,Other noise
1452.png,Other noise
5934.png,Other noise
2094.png,Other noise
441.png,Other noise
928.png,Other noise
5584.png,Other noise
4598.png,Other noise
4536.png,Poisson noise
562.png,Other noise
681.png,Other noise
5129.png,Other noise
2668.png,Other noise
3659.png,Other noise
2582.png,Other noise
1266.png,Other noise
1542.png,Other noise
5298.png,Other noise
4552.png,Other noise
5399.png,Other noise
4423.png,Other noise
5707.png,Other noise
3174.png,Other noise
2526.png,Other noise
1206.png,Poisson noise
3028.png,Other noise
5151.png,Other noise
1064.png,Other noise
4228.png,Other noise
3415.png,Other noise
204.png,Other noise
646.png,Other noise
1179.png,Other noise
5039.png,Other noise
2233.png,Other noise
75.png,Other noise
1128.png,Other noise
5961.png,Other noise
296.png,Other noise
2184.png,Other noise
1494.png,Other noise
5017.png,Other noise
5091.png,Other noise
2388.png,Other noise
3650.png,Other noise
5417.png,Other noise
1364.png,Other noise
1334.png,Other noise
1576.png,Other noise
1072.png,Other noise
2832.png,Other noise
4388.png,Other noise
4959.png,Other noise
1123.png,Other noise
1808.png,Other noise
3283.png,Other noise
2801.png,Other noise
4026.png,Other noise
4925.png,Other noise
744.png,Other noise
2428.png,Poisson noise
1314.png,Other noise
4687.png,Other noise
3098.png,Other noise
538.png,Other noise
1301.png,Other noise
651.png,Other noise
899.png,Other noise
5542.png,Other noise
3172.png,Other noise
4652.png,Other noise
1907.png,Other noise
3255.png,Other noise
270.png,Other noise
2607.png,Other noise
4839.png,Other noise
3082.png,Other noise
89.png,Other noise
385.png,Other noise
3628.png,Other noise
2096.png,Other noise
3645.png,Other noise
768.png,Other noise
4675.png,Other noise
4381.png,Other noise
3833.png,Other noise
872.png,Other noise
5413.png,Other noise
5224.png,Poisson noise
4902.png,Other noise
5933.png,Other noise
4269.png,Other noise
5238.png,Poisson noise
2079.png,Other noise
4196.png,Other noise
5065.png,Other noise
338.png,Other noise
3025.png,Other noise
3478.png,Other noise
3949.png,Other noise
4003.png,Other noise
5289.png,Other noise
333.png,Other noise
164.png,Poisson noise
5069.png,Other noise
5121.png,Other noise
1168.png,Other noise
5740.png,Other noise
1118.png,Other noise
4740.png,Other noise
4782.png,Other noise
1867.png,Other noise
752.png,Other noise
4155.png,Other noise
3831.png,Other noise
5516.png,Other noise
2795.png,Other noise
550.png,Other noise
1326.png,Other noise
521.png,Other noise
4334.png,Other noise
4493.png,Other noise
1275.png,Other noise
3599.png,Other noise
2355.png,Other noise
5905.png,Other noise
2143.png,Other noise
5574.png,Other noise
1789.png,Other noise
5927.png,Other noise
11.png,Other noise
1668.png,Other noise
5568.png,Other noise
1036.png,Other noise
5101.png,Other noise
4466.png,Other noise
615.png,Other noise
5336.png,Other noise
3534.png,Other noise
5580.png,Other noise
416.png,Other noise
5668.png,Other noise
2495.png,Other noise
1952.png,Other noise
5148.png,Other noise
994.png,Poisson noise
3724.png,Other noise
881.png,Other noise
605.png,Other noise
4314.png,Other noise
4527.png,Other noise
707.png,Other noise
3869.png,Other noise
2854.png,Other noise
3966.png,Other noise
3144.png,Other noise
351.png,Other noise
1010.png,Other noise
3838.png,Other noise
1910.png,Other noise
1208.png,Other noise
213.png,Poisson noise
4589.png,Other noise
2577.png,Other noise
4932.png,Other noise
5975.png,Other noise
1695.png,Other noise
4135.png,Other noise
5457.png,Other noise
5187.png,Other noise
411.png,Other noise
4505.png,Other noise
2183.png,Other noise
505.png,Other noise
5160.png,Other noise
1445.png,Other noise
114.png,Other noise
1698.png,Other noise
1871.png,Other noise
1307.png,Other noise
930.png,Other noise
5469.png,Other noise
5500.png,Other noise
2278.png,Other noise
4146.png,Other noise
4254.png,Other noise
302.png,Other noise
185.png,Other noise
5429.png,Other noise
1870.png,Other noise
240.png,Other noise
4149.png,Other noise
3160.png,Other noise
3956.png,Other noise
5817.png,Other noise
1483.png,Other noise
811.png,Other noise
4361.png,Other noise
5489.png,Other noise
5769.png,Other noise
3211.png,Other noise
317.png,Other noise
2653.png,Other noise
1294.png,Other noise
1530.png,Other noise
3864.png,Other noise
2026.png,Other noise
3582.png,Other noise
3520.png,Other noise
1678.png,Other noise
2998.png,Poisson noise
1514.png,Other noise
5763.png,Other noise
1041.png,Other noise
4090.png,Other noise
2702.png,Other noise
281.png,Other noise
2901.png,Other noise
3733.png,Other noise
344.png,Other noise
5018.png,Other noise
1967.png,Other noise
5205.png,Other noise
1649.png,Other noise
3830.png,Other noise
5628.png,Other noise
3587.png,Other noise
2519.png,Other noise
1268.png,Other noise
4431.png,Other noise
5894.png,Other noise
3805.png,Other noise
1627.png,Other noise
3056.png,Other noise
457.png,Other noise
493.png,Poisson noise
1329.png,Other noise
759.png,Other noise
4093.png,Other noise
5630.png,Other noise
3165.png,Poisson noise
4793.png,Other noise
907.png,Other noise
2489.png,Other noise
1071.png,Other noise
362.png,Other noise
2336.png,Other noise
2751.png,Other noise
5925.png,Other noise
4153.png,Other noise
1148.png,Other noise
176.png,Other noise
5288.png,Other noise
2106.png,Other noise
4078.png,Other noise
3675.png,Poisson noise
4044.png,Other noise
660.png,Other noise
4531.png,Other noise
727.png,Other noise
4252.png,Other noise
1625.png,Poisson noise
2088.png,Other noise
95.png,Other noise
2228.png,Other noise
432.png,Other noise
895.png,Other noise
1161.png,Poisson noise
2594.png,Other noise
5262.png,Other noise
5594.png,Poisson noise
3445.png,Other noise
97.png,Other noise
3387.png,Other noise
4446.png,Other noise
5509.png,Other noise
5863.png,Other noise
1351.png,Poisson noise
5380.png,Other noise
124.png,Other noise
2429.png,Other noise
119.png,Other noise
3268.png,Other noise
1227.png,Other noise
2747.png,Other noise
3319.png,Other noise
3451.png,Other noise
256.png,Other noise
2861.png,Other noise
4074.png,Other noise
4634.png,Other noise
791.png,Other noise
654.png,Other noise
3471.png,Other noise
100.png,Other noise
1381.png,Other noise
211.png,Poisson noise
5379.png,Other noise
4660.png,Other noise
1241.png,Other noise
2345.png,Other noise
2696.png,Other noise
3314.png,Other noise
500.png,Other noise
5363.png,Other noise
4216.png,Other noise
4348.png,Other noise
4741.png,Other noise
2333.png,Other noise
322.png,Other noise
1584.png,Other noise
4158.png,Other noise
3235.png,Other noise
2372.png,Other noise
1622.png,Other noise
76.png,Other noise
1269.png,Other noise
1197.png,Other noise
4066.png,Other noise
3730.png,Other noise
193.png,Poisson noise
2541.png,Other noise
2841.png,Other noise
5536.png,Other noise
5784.png,Other noise
4516.png,Other noise
608.png,Other noise
1893.png,Other noise
5893.png,Other noise
5625.png,Other noise
1955.png,Other noise
5477.png,Other noise
5805.png,Poisson noise
4987.png,Other noise
5087.png,Other noise
3684.png,Other noise
191.png,Other noise
420.png,Other noise
528.png,Other noise
163.png,Other noise
3242.png,Other noise
31.png,Other noise
3208.png,Other noise
2523.png,Other noise
2491.png,Other noise
4068.png,Other noise
3899.png,Other noise
5445.png,Other noise
2750.png,Other noise
5658.png,Other noise
2301.png,Other noise
1779.png,Poisson noise
4986.png,Other noise
3367.png,Other noise
3695.png,Other noise
4802.png,Other noise
4075.png,Other noise
5660.png,Other noise
5196.png,Poisson noise
4923.png,Other noise
623.png,Other noise
5146.png,Other noise
969.png,Other noise
2349.png,Poisson noise
5651.png,Other noise
1097.png,Other noise
642.png,Other noise
2558.png,Other noise
3523.png,Other noise
4266.png,Other noise
1401.png,Poisson noise
1594.png,Other noise
825.png,Other noise
4313.png,Other noise
1420.png,Other noise
2517.png,Other noise
5896.png,Other noise
3705.png,Poisson noise
4213.png,Other noise
4608.png,Other noise
1882.png,Other noise
4672.png,Other noise
2943.png,Other noise
2280.png,Other noise
3912.png,Other noise
1122.png,Other noise
1018.png,Other noise
4712.png,Other noise
4042.png,Other noise
1220.png,Other noise
1469.png,Other noise
5780.png,Other noise
2017.png,Other noise
5559.png,Other noise
5268.png,Other noise
1991.png,Other noise
138.png,Other noise
629.png,Other noise
2380.png,Other noise
4854.png,Other noise
2344.png,Other noise
2113.png,Other noise
4637.png,Other noise
3631.png,Poisson noise
1333.png,Other noise
4628.png,Other noise
2213.png,Other noise
3982.png,Other noise
396.png,Other noise
4725.png,Other noise
4.png,Other noise
1405.png,Other noise
3807.png,Other noise
4728.png,Other noise
2095.png,Other noise
796.png,Other noise
844.png,Other noise
225.png,Other noise
3457.png,Other noise
1371.png,Other noise
561.png,Other noise
4648.png,Other noise
2028.png,Other noise
5474.png,Other noise
3433.png,Other noise
2472.png,Other noise
5830.png,Other noise
4259.png,Other noise
5662.png,Other noise
588.png,Other noise
4647.png,Other noise
492.png,Other noise
2370.png,Other noise
5140.png,Other noise
2853.png,Other noise
2609.png,Other noise
669.png,Other noise
2037.png,Other noise
2173.png,Other noise
1315.png,Other noise
3200.png,Other noise
1868.png,Other noise
3429.png,Other noise
1219.png,Poisson noise
3683.png,Other noise
4765.png,Other noise
3393.png,Other noise
3143.png,Other noise
3222.png,Other noise
1887.png,Other noise
1482.png,Other noise
2534.png,Other noise
5859.png,Poisson noise
192.png,Poisson noise
2463.png,Other noise
3051.png,Other noise
3474.png,Other noise
2067.png,Other noise
2340.png,Other noise
2806.png,Other noise
2466.png,Other noise
1249.png,Other noise
3732.png,Other noise
3493.png,Other noise
5158.png,Other noise
3290.png,Other noise
3444.png,Other noise
5200.png,Poisson noise
2097.png,Other noise
5058.png,Other noise
43.png,Poisson noise
3612.png,Poisson noise
1137.png,Other noise
229.png,Other noise
5455.png,Other noise
1598.png,Other noise
992.png,Other noise
5052.png,Other noise
4448.png,Other noise
1783.png,Other noise
3066.png,Other noise
3563.png,Other noise
5269.png,Other noise
5225.png,Other noise
635.png,Other noise
2040.png,Other noise
1844.png,Other noise
1135.png,Other noise
2405.png,Poisson noise
2242.png,Other noise
962.png,Other noise
3847.png,Other noise
3687.png,Other noise
4927.png,Other noise
129.png,Other noise
5478.png,Other noise
5954.png,Other noise
4188.png,Other noise
3423.png,Other noise
3894.png,Other noise
4289.png,Poisson noise
1946.png,Other noise
331.png,Other noise
3880.png,Other noise
4603.png,Other noise
1885.png,Other noise
3226.png,Other noise
1243.png,Other noise
4764.png,Other noise
4020.png,Other noise
4242.png,Other noise
4316.png,Other noise
4813.png,Other noise
1067.png,Other noise
5545.png,Other noise
313.png,Other noise
966.png,Other noise
3509.png,Other noise
672.png,Other noise
4710.png,Other noise
2371.png,Other noise
4027.png,Other noise
820.png,Other noise
1558.png,Other noise
1349.png,Other noise
1279.png,Other noise
4946.png,Poisson noise
3186.png,Other noise
1733.png,Poisson noise
3395.png,Other noise
1740.png,Other noise
4238.png,Other noise
580.png,Other noise
4877.png,Other noise
345.png,Other noise
4705.png,Other noise
3447.png,Other noise
3157.png,Other noise
2611.png,Other noise
4322.png,Other noise
4194.png,Other noise
3435.png,Other noise
2053.png,Other noise
1694.png,Other noise
171.png,Other noise
682.png,Other noise
1113.png,Other noise
903.png,Other noise
3015.png,Other noise
2066.png,Other noise
4532.png,Other noise
5557.png,Other noise
5984.png,Other noise
3580.png,Other noise
2786.png,Poisson noise
1154.png,Other noise
3790.png,Poisson noise
1984.png,Other noise
1755.png,Other noise
5392.png,Other noise
4429.png,Poisson noise
1616.png,Other noise
1913.png,Other noise
287.png,Other noise
1339.png,Other noise
4193.png,Other noise
3688.png,Other noise
3176.png,Other noise
1187.png,Poisson noise
5403.png,Other noise
4853.png,Other noise
3365.png,Other noise
1103.png,Other noise
2435.png,Other noise
3738.png,Poisson noise
5938.png,Other noise
4810.png,Other noise
4404.png,Other noise
1199.png,Other noise
324.png,Other noise
4627.png,Other noise
145.png,Other noise
3541.png,Other noise
1255.png,Other noise
3559.png,Other noise
2864.png,Other noise
4192.png,Other noise
4585.png,Other noise
863.png,Other noise
4681.png,Other noise
1283.png,Other noise
5250.png,Other noise
4790.png,Other noise
2904.png,Other noise
1108.png,Other noise
4364.png,Other noise
1430.png,Other noise
5033.png,Other noise
5045.png,Other noise
2717.png,Other noise
1548.png,Other noise
3574.png,Other noise
3922.png,Other noise
3330.png,Other noise
5849.png,Other noise
5892.png,Other noise
5266.png,Other noise
5913.png,Other noise
5656.png,Other noise
5247.png,Other noise
5727.png,Other noise
40.png,Other noise
3998.png,Other noise
4708.png,Other noise
3072.png,Other noise
4808.png,Other noise
4571.png,Other noise
1322.png,Other noise
2875.png,Other noise
2082.png,Other noise
4863.png,Other noise
3585.png,Poisson noise
3134.png,Other noise
1528.png,Other noise
209.png,Other noise
4373.png,Other noise
2855.png,Other noise
3430.png,Other noise
3680.png,Other noise
5744.png,Other noise
3752.png,Other noise
2626.png,Other noise
3615.png,Other noise
1751.png,Other noise
3621.png,Other noise
197.png,Other noise
3916.png,Other noise
2544.png,Other noise
1874.png,Other noise
1970.png,Other noise
4717.png,Other noise
5377.png,Other noise
1240.png,Other noise
1130.png,Other noise
4245.png,Other noise
3249.png,Other noise
5985.png,Other noise
5177.png,Poisson noise
982.png,Other noise
1507.png,Other noise
3368.png,Other noise
5411.png,Other noise
445.png,Other noise
1006.png,Other noise
2776.png,Other noise
3364.png,Other noise
575.png,Other noise
4654.png,Other noise
4055.png,Other noise
3625.png,Poisson noise
311.png,Other noise
4037.png,Other noise
1347.png,Other noise
959.png,Other noise
3005.png,Other noise
1771.png,Other noise
5755.png,Other noise
4856.png,Other noise
3502.png,Other noise
4721.png,Other noise
5082.png,Other noise
1940.png,Other noise
33.png,Other noise
126.png,Other noise
876.png,Other noise
5143.png,Other noise
2761.png,Poisson noise
4150.png,Other noise
147.png,Other noise
3090.png,Other noise
3508.png,Other noise
973.png,Other noise
4507.png,Other noise
3089.png,Other noise
2599.png,Other noise
5999.png,Other noise
3241.png,Other noise
688.png,Other noise
3192.png,Other noise
1212.png,Other noise
1165.png,Other noise
3122.png,Other noise
5453.png,Other noise
4354.png,Other noise
5355.png,Other noise
2103.png,Other noise
468.png,Other noise
5968.png,Other noise
4186.png,Other noise
2816.png,Other noise
3316.png,Other noise
2250.png,Other noise
326.png,Other noise
2252.png,Other noise
357.png,Other noise
2490.png,Other noise
5120.png,Other noise
1361.png,Other noise
1872.png,Other noise
1650.png,Other noise
85.png,Other noise
9.png,Other noise
4376.png,Other noise
604.png,Other noise
2012.png,Poisson noise
3971.png,Other noise
5088.png,Other noise
1045.png,Other noise
5532.png,Other noise
4144.png,Other noise
4629.png,Other noise
4991.png,Other noise
3318.png,Other noise
102.png,Other noise
2007.png,Other noise
5856.png,Other noise
1904.png,Other noise
2862.png,Other noise
3536.png,Other noise
1132.png,Poisson noise
3596.png,Other noise
3540.png,Other noise
5900.png,Other noise
5255.png,Other noise
3488.png,Other noise
254.png,Other noise
2543.png,Other noise
673.png,Other noise
1338.png,Poisson noise
2796.png,Other noise
1230.png,Poisson noise
1055.png,Other noise
931.png,Other noise
2190.png,Other noise
2174.png,Other noise
5012.png,Other noise
2868.png,Other noise
5544.png,Poisson noise
5926.png,Other noise
245.png,Other noise
5977.png,Other noise
4607.png,Other noise
658.png,Other noise
4635.png,Other noise
4406.png,Other noise
2865.png,Other noise
4000.png,Poisson noise
4187.png,Other noise
5418.png,Other noise
431.png,Other noise
2593.png,Other noise
4434.png,Other noise
3280.png,Other noise
465.png,Other noise
647.png,Other noise
2101.png,Other noise
4080.png,Other noise
5133.png,Other noise
1802.png,Other noise
4461.png,Other noise
3187.png,Other noise
3289.png,Other noise
1435.png,Other noise
823.png,Other noise
1282.png,Other noise
4092.png,Other noise
3117.png,Other noise
3836.png,Other noise
4715.png,Other noise
2575.png,Other noise
1302.png,Other noise
3475.png,Other noise
891.png,Other noise
1953.png,Other noise
5575.png,Other noise
466.png,Other noise
5219.png,Other noise
1552.png,Other noise
4529.png,Other noise
4126.png,Other noise
1039.png,Other noise
4998.png,Other noise
1538.png,Other noise
978.png,Poisson noise
689.png,Other noise
168.png,Other noise
4689.png,Other noise
5260.png,Other noise
2150.png,Other noise
984.png,Other noise
2044.png,Other noise
2605.png,Other noise
4988.png,Poisson noise
4750.png,Other noise
857.png,Other noise
1799.png,Other noise
233.png,Other noise
3609.png,Other noise
3494.png,Other noise
2815.png,Other noise
2777.png,Other noise
2193.png,Other noise
2202.png,Other noise
2698.png,Other noise
5107.png,Other noise
2638.png,Other noise
200.png,Poisson noise
4748.png,Other noise
4954.png,Other noise
743.png,Other noise
1925.png,Other noise
3785.png,Other noise
255.png,Other noise
3498.png,Other noise
2616.png,Other noise
3903.png,Other noise
4375.png,Other noise
1990.png,Other noise
1027.png,Other noise
5433.png,Other noise
2980.png,Other noise
4731.png,Other noise
4826.png,Other noise
713.png,Other noise
3038.png,Other noise
4125.png,Other noise
284.png,Other noise
3227.png,Poisson noise
2358.png,Other noise
888.png,Other noise
4843.png,Other noise
2060.png,Other noise
2530.png,Other noise
970.png,Other noise
818.png,Other noise
2196.png,Other noise
2540.png,Other noise
5054.png,Other noise
3388.png,Other noise
5558.png,Other noise
1490.png,Other noise
5068.png,Other noise
2546.png,Other noise
2230.png,Other noise
1077.png,Other noise
5330.png,Other noise
1495.png,Other noise
5284.png,Other noise
4537.png,Other noise
3133.png,Other noise
1822.png,Other noise
2642.png,Other noise
4008.png,Other noise
546.png,Other noise
1447.png,Other noise
1884.png,Other noise
1025.png,Other noise
2335.png,Poisson noise
5555.png,Other noise
1423.png,Poisson noise
56.png,Other noise
5887.png,Other noise
4838.png,Other noise
911.png,Other noise
1593.png,Other noise
4621.png,Other noise
989.png,Other noise
1295.png,Other noise
2140.png,Other noise
4968.png,Other noise
3398.png,Other noise
5554.png,Other noise
2921.png,Other noise
515.png,Other noise
1402.png,Other noise
2071.png,Other noise
4773.png,Other noise
2172.png,Other noise
2483.png,Other noise
3078.png,Other noise
3879.png,Poisson noise
1324.png,Other noise
3746.png,Poisson noise
4956.png,Other noise
3512.png,Other noise
1107.png,Other noise
4030.png,Other noise
578.png,Other noise
2229.png,Other noise
4136.png,Other noise
1228.png,Poisson noise
5321.png,Other noise
5480.png,Other noise
116.png,Other noise
547.png,Other noise
3796.png,Poisson noise
1367.png,Other noise
4553.png,Other noise
5246.png,Other noise
4001.png,Other noise
2311.png,Other noise
3780.png,Other noise
2148.png,Other noise
555.png,Other noise
2467.png,Other noise
4204.png,Other noise
4365.png,Other noise
2843.png,Other noise
2613.png,Other noise
2144.png,Other noise
4091.png,Other noise
5279.png,Other noise
4613.png,Other noise
4541.png,Other noise
847.png,Other noise
879.png,Other noise
3221.png,Other noise
5275.png,Other noise
2548.png,Other noise
1104.png,Other noise
2753.png,Other noise
3353.png,Other noise
2556.png,Other noise
5347.png,Other noise
3901.png,Other noise
4249.png,Other noise
5607.png,Poisson noise
4791.png,Other noise
3766.png,Other noise
